web-scraper-order,web-scraper-start-url,price,rooms,bathrooms,sizem2,zone
"1606145288-4274","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=61","1.200€","1 Hab","1 Baño","80m2","Sarrià / Sant Gervasi, Sant Gervasi-Galvany, Barcelona"
"1606144855-1860","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=222","900€","3 Hab","1 Baño","70m2","Horta-Guinardó, Can Baró, Barcelona"
"1606144938-2314","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=191","1.600€","1 Hab","2 Baños","109m2","Doctor Fleming, Sarrià / Sant Gervasi, Sant Gervasi-Galvany, Barcelona"
"1606145402-4900","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=19","2.445€","5 Hab","1 Baño","167m2","Eixample, Dreta Eixample, Barcelona"
"1606145145-3472","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=114","1.600€","1 Hab","1 Baño","65m2","Sarrià / Sant Gervasi, Sant Gervasi-Galvany, Barcelona"
"1606145102-3237","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=130","2.150€","2 Hab","1 Baño","80m2","Ciutat Vella, Barcelona"
"1606145339-4550","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=42","1.100€","3 Hab","2 Baños","90m2","Sarrià / Sant Gervasi, El Putxet i el Farró, Barcelona"
"1606144876-1977","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=214","790€","1 Hab","1 Baño","40m2","DE LES CINC TORRES, Les Corts, Barcelona"
"1606144709-1047","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=276","950€","3 Hab","2 Baños","150m2","Calle cantabria, Sant Martí, Sant Martí de Provençals, Barcelona"
"1606145297-4316","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=58","1.100€","2 Hab","1 Baño","80m2","Carrer de Francisco Giner, Gràcia, Vila de Gràcia, Barcelona"
